"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2019"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","191757100","38872200","59102900","18007200","2125700","528200","8856100","319249300","1"
"Alabama","3117200","1263500","211700","65200","18800","N/A","89200","4767100"
"Alaska","421100","15200","48900","42000","106000","10400","58200","701700"
"Arizona","3843700","306600","2254800","231000","276100","12500","173400","7098000"
"Arkansas","2108400","444200","226800","45500","16700","10800","70100","2922500"
"California","14047400","2066300","15271400","5691100","138800","137000","1290700","38642700"
"Colorado","3804100","211100","1221900","180300","29400","6200","158700","5611800"
"Connecticut","2268200","346400","583300","158600","5600","N/A","90100","3453300"
"Delaware","577700","205100","91100","36900","3000","N/A","26300","940300"
"District of Columbia","246100","302400","75200","25200","1800","N/A","20500","671300"
"Florida","11119200","3150100","5583900","573500","39900","12200","513300","20992000"
"Georgia","5354500","3225900","1011800","422400","19700","5800","253900","10294000"
"Hawaii","274400","16400","137900","528600","1600","136900","247200","1343000"
"Idaho","1429500","11500","225600","21600","15900","N/A","44800","1750900"
"Illinois","7522700","1679900","2177500","695500","11300","3000","272500","12362300"
"Indiana","5116000","600500","471000","158800","12300","N/A","151300","6511800"
"Iowa","2610600","119200","191600","71600","8800","1000","57400","3060200"
"Kansas","2128700","153300","341900","79900","17500","N/A","89100","2811200"
"Kentucky","3648500","344900","160800","70400","4900","N/A","87500","4319300"
"Louisiana","2643900","1433000","235800","76600","21600","N/A","86900","4498600"
"Maine","1213500","17800","21900","14500","9700","N/A","24600","1302300"
"Maryland","2934100","1741500","624500","373300","12400","N/A","188100","5875500"
"Massachusetts","4687000","466200","824100","448000","12000","2600","210800","6650800"
"Michigan","7316400","1305100","514600","315900","47100","N/A","264900","9765600"
"Minnesota","4361600","353700","307300","272500","50900","N/A","165900","5514800"
"Mississippi","1622400","1078300","85900","28600","11000","N/A","40700","2867100"
"Missouri","4715000","667100","253900","122500","21200","8200","152000","5939900"
"Montana","895200","5900","38300","7900","62900","N/A","28700","1039400"
"Nebraska","1470900","89200","212200","45200","14800","N/A","40200","1873600"
"Nevada","1448800","279000","888400","257500","26700","17500","111900","3029700"
"New Hampshire","1179700","17600","51500","34800","N/A","N/A","27600","1314000"
"New Jersey","4738500","1081400","1822900","836400","8800","N/A","209000","8699400"
"New Mexico","750000","35000","1010200","32900","176600","N/A","36000","2041400"
"New York","10432200","2651600","3649800","1625500","39100","N/A","507900","18908300"
"North Carolina","6355400","2124200","987900","294400","112600","4800","260600","10139700"
"North Dakota","614600","17900","29400","10400","38000","N/A","19100","731000"
"Ohio","8918300","1380000","452300","260500","15800","N/A","321400","11351500"
"Oklahoma","2488200","262800","424600","78900","295000","4600","272800","3826900"
"Oregon","3097700","72900","553400","192000","38900","10900","163100","4128900"
"Pennsylvania","9401500","1282000","960500","438000","14200","2300","279200","12377600"
"Rhode Island","717300","60300","169100","34000","2300","N/A","33900","1017100"
"South Carolina","3177000","1307200","285200","84100","14300","N/A","108300","4984200"
"South Dakota","697500","18800","31400","11000","71500","N/A","20500","851300"
"Tennessee","4884500","1088500","378900","120600","17200","N/A","148700","6640900"
"Texas","11637100","3297200","11300500","1409700","76800","19000","545800","28286200"
"Utah","2452300","32600","455000","72800","31100","25800","84400","3154100"
"Vermont","555100","6700","10600","9700","4000","N/A","11900","598100"
"Virginia","5017100","1543100","787100","551900","13600","3900","268300","8185100"
"Washington","5013200","282700","964700","662400","82400","47400","371100","7423900"
"West Virginia","1609000","55900","24800","14200","3900","N/A","31200","1739000"
"Wisconsin","4602500","349200","401700","169100","37400","N/A","114100","5677100"
"Wyoming","471600","5400","57100","3400","12300","N/A","12000","562700"
"Puerto Rico","42600","3100","3106600","N/A","N/A","N/A","9100","3164500"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureauâ€™s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
